publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
"City of Washington, DC","[u'Government operations', u'transparency', u'accountability', u'PO', u'purchase orders', u'procurement', u'Office of Contracting and Procurement', u'Financials', u'Jan2018', u'dollars', u'2018live']",http://opendata.dc.gov/datasets/fe1117d71926432c8e1188939407ce96_54,Purchase Orders in FY 2018,2017 - DC Office of Contracting and Procurement Purchase Orders from Procurement Automated Support System (PASS). This dataset contains purchase orders with the amount spend greater than $2500.,2018-01-11T19:10:38.000Z,2018-01-11T19:12:43.000Z,http://opendata.dc.gov/datasets/fe1117d71926432c8e1188939407ce96_54,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Public_Service_WebMercator/MapServer/54,"-180.0,-90.0,180.0,90.0"
"City of Washington, DC","[u'resident', u'311', u'service requests', u'public service', u'call center', u'ouc', u'dc', u'dc gis', u'washington dc', u'jan2018', u'2018live']",http://opendata.dc.gov/datasets/2a46f1f1aad04940b83e75e744eb3b09_9,City Service Requests in 2018,"Data provided here are from the DC's 311 service request center. They represent all service requests such as abandoned automobiles, parking meter repair and bulk trash pickup. Requests are received by the Office of Unified Communications (OUC) through the Mayor's Call Center (311), citizens web intake at?http://311.dc.gov, electronic and US mail service or via other methods of communication.The?Office of Unified Communications (OUC)?oversees the designated call center for all 311 calls and for all District 911 calls.Please also visit the?DC 311 Service Request Map?which allows the public to see service requests in the last 30 days. Users can view requests by Ward within charts. Just set the area filter to select service requests. Click on a service request to view details.",2018-01-11T19:18:05.000Z,2018-01-29T12:53:43.760Z,http://opendata.dc.gov/datasets/2a46f1f1aad04940b83e75e744eb3b09_9,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/ServiceRequests/MapServer/9,"-77.1143,38.8127,-76.9096,38.9956"
"City of Washington, DC","[u'vpmdata', u'Property', u'Condo', u'Open Data', u'Washington DC', u'DC GIS', u'District of Columbia', u'Land', u'Cadastral', u'feb2018']",http://opendata.dc.gov/datasets/7447f50e010c4ea19f5733d986999ff4_72,Condo Regime Relate Table,"The Regimes are how Office of Tax and Revenue (OTR) quantifies units in a given condo development, grouping of condos.?A condo regime number is assigned to each residential condo application or Article of Confederation regardless of how many buildings there are at any one site. The regime number starts with a 1, 2, or 3 depending upon where the condo is located and where they fall in the assessment process of Real Property Tax Assessment (RPTA). All numbers after the first are consecutive. RPTA maintains the master list of Regime numbers for residential properties.? Commercial condos are not associated with a Regime number.Condo lots are individual lots for each condominium.? The lot numbers normally range from 2000-6999.? These condo lots are not geographically defined other than being within a air rights, record, tax or a combination of lots that has one or more condo buildings within it.",2018-02-14T15:34:20.000Z,2018-02-14T15:43:21.000Z,http://opendata.dc.gov/datasets/7447f50e010c4ea19f5733d986999ff4_72,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Property_and_Land_WebMercator/MapServer/72,"-77.136,38.786,-76.928,38.994"
"City of Washington, DC","[u'parcc', u'dcps', u'education', u'washington dc', u'dc', u'dcgis', u'school', u'student', u'Partnership for Assessment of Readiness for College and Careers', u'jan2018', u'MultiState Alternate Assessment', u'msaa', u'assessment', u'testing', u'scores', u'college']",http://opendata.dc.gov/datasets/85fce54dea6946dea827c02a6bda88bb_23,DC Public Schools Student Assessment Results,"This data contains the official 2016-2017 assessment performance results for the Partnership for Assessment of Readiness for College (PARCC) and Multi-State Alternate Assessment (MSAA) assessments in ELA and mathematics. This also includes historical performance information from the 2015-16 and 2014-15 PARCC and MSAA administrations. The dataset contains detailed information, showing multiple levels of results for specific groups of students, for all grades within a school, and for individual grades. For more information, visit?https://osse.dc.gov/assessments.",2017-12-22T19:16:48.000Z,2018-01-29T13:00:54.028Z,http://opendata.dc.gov/datasets/85fce54dea6946dea827c02a6bda88bb_23,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Education_WebMercator/MapServer/23,"-77.136,38.786,-76.928,38.994"
"City of Washington, DC","[u'Washington DC', u'Feeds', u'Basic Business License', u'bbl', u'DC GIS', u'District of Columbia', u'cdw', u'dcra', u'economic', u'jan2018', u'2018live']",http://opendata.dc.gov/datasets/85bf98d3915f412c8a4de706f2d13513_8,Basic Business License in 2018,"In order to operate legally in District of Columbia, most businesses must get a Basic Business License (BBL) from the Department of Consumer and Regulatory Affairs (DCRA). The Basic Business License (BBL) Program streamlines District of Columbia business licensing procedures. The BBL groups licenses by the type of business activity and regulatory approvals required. ?The dataset shows issued business licenses in 2017 in the following categories: all housing licenses, motor vehicle sales, service and repair, and home improvement contractors.These data are shared via an automated process where addresses are batch matched (geocoded) to the District's Master Address Repository. Users may find that some data points will contain 0,0 for X,Y coordinates resulting in inconsistent spatial locations. Addresses for these data points could not be automatically geocoded and will need to be manually geocoded to 'best fit' locations in DC. Use the?MAR Geocoder?to help complete this. International address may not follow conventional US address format.",2018-01-05T14:17:31.000Z,2018-01-09T17:03:17.000Z,http://opendata.dc.gov/datasets/85bf98d3915f412c8a4de706f2d13513_8,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/DCRA/MapServer/8,"-77.1141,38.8135,-76.9099,38.9949"
"City of Washington, DC","[u'Washington DC', u'DC GIS', u'District of Columbia', u'Feeds', u'cdw', u'ddot', u'public space', u'permit', u'jan2018', u'2018live']",http://opendata.dc.gov/datasets/ca581e1b455a46caa266e3476f8205d2_0,Construction Permits in 2018,"The dataset contains locations and attributes of above ground permits applied for and approved by the District Department of Transportation. They are occupied constructions and events. ?Examples include: moving trucks, roll off debris container, moving storage container, construction staging area, mobile crane work zone, other reserved parking. ?Public space permit process is described on the DDOT website?http://ddot.dc.gov.These data are shared via an automated process where addresses are batch matched (geocoded) to the District's Master Address Repository. Users may find that some data points will contain 0,0 for X,Y coordinates resulting in inconsistent spatial locations. Addresses for these data points could not be automatically geocoded and will need to be manually geocoded to 'best fit' locations in DC. Use the?MAR Geocoder?to help complete this.",2018-01-05T14:33:20.000Z,2018-01-29T12:56:42.195Z,http://opendata.dc.gov/datasets/ca581e1b455a46caa266e3476f8205d2_0,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/DDOT/MapServer/0,"-77.1124,38.8204,-76.9153,38.9945"
"City of Washington, DC","[u'Washington DC', u'Feeds', u'bbl', u'Building Permits', u'DC GIS', u'District of Columbia', u'cdw', u'dcra', u'economic', u'jan2018', u'2018live']",http://opendata.dc.gov/datasets/42cbd10c2d6848858374facb06135970_9,Building Permits in 2018,"The dataset is continuously updated and contains locations and attributes of building construction and alteration permits applied for and approved by the District of Columbia Department of Consumer and Regulatory Affairs. The building permit process is described on the DCRA website?http://dcra.dc.gov/These data are shared via an automated process where addresses are batch matched (geocoded) to the District's Master Address Repository. Users may find that some data points will contain 0,0 for X,Y coordinates resulting in inconsistent spatial locations. Addresses for these data points could not be automatically geocoded and will need to be manually geocoded to 'best fit' locations in DC. Use the?MAR Geocoder?to help complete this.",2018-01-05T14:42:14.000Z,2018-01-09T17:00:41.000Z,http://opendata.dc.gov/datasets/42cbd10c2d6848858374facb06135970_9,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/DCRA/MapServer/9,"-77.136,38.786,-76.928,38.994"
"City of Washington, DC","[u'Washington DC', u'DC GIS', u'District of Columbia', u'Feeds', u'cdw', u'ddot', u'transportation', u'jan2018', u'public space', u'2018live']",http://opendata.dc.gov/datasets/182ff95a75e74d25a04aaa66d9e09a64_1,Occupancy Permits in 2018,"The dataset contains locations and attributes for above ground permits applied for and approved by the District Department of Transportation. They are existing occupied constructions and events. ?Examples include: moving trucks, roll off debris container, moving storage container, construction staging area, mobile crane work zone, other reserved parking. ?The public space permit process is described on the DDOT website?http://ddot.dc.gov.These data are shared via an automated process where addresses are batch matched (geocoded) to the District's Master Address Repository. Users may find that some data points will contain 0,0 for X,Y coordinates resulting in inconsistent spatial locations. Addresses for these data points could not be automatically geocoded and will need to be manually geocoded to 'best fit' locations in DC. Use the?MAR Geocoder?to help complete this.",2018-01-05T14:28:47.000Z,2018-01-29T12:55:50.613Z,http://opendata.dc.gov/datasets/182ff95a75e74d25a04aaa66d9e09a64_1,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/DDOT/MapServer/1,"-77.1121,38.8159,-76.9113,38.9871"
"City of Washington, DC","[u'property', u'tax', u'real estate', u'otr', u'revenue', u'dc', u'dcgis', u'washington dc', u'jan2018', u'nonprofit', u'charity', u'religious', u'exempt', u'vpmdata']",http://opendata.dc.gov/datasets/c368581276b7437db51e82ae521b46c8_70,Tax Exempt Properties,"Properties owned by qualified non-profit, educational, charitable, and religious organizations may be exempt from real property tax. To receive an exemption, a property must be owned by a qualified non-profit and used for an exempt purpose. See DC Code ? 47-1002. If you believe that your property may qualify for an exemption, file an application for Exemption from DC Real Property Tax (FP-300)",2018-01-29T17:59:21.000Z,2018-02-01T19:14:31.000Z,http://opendata.dc.gov/datasets/c368581276b7437db51e82ae521b46c8_70,https://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Property_and_Land_WebMercator/MapServer/70,"-77.136,38.786,-76.928,38.994"
"City of Washington, DC","[u'Washington DC', u'Crime', u'Feeds', u'DC GIS', u'District of Columbia', u'cdw', u'MPD', u'safety', u'robbery', u'homicide', u'assault', u'burglary', u'theft', u'jan2018', u'2018live']",http://opendata.dc.gov/datasets/38ba41dd74354563bce28a359b59324e_0,Crime Incidents in 2018,"DC crime incident locations. The dataset contains a subset of locations and attributes of incidents reported in the ASAP (Analytical Services Application) crime report database by the District of Columbia Metropolitan Police Department (MPD). Visit?http://crimemap.dc.gov?for more information.?This data is shared via an automated process where addresses are batch matched (geocoded) to the District's Master Address Repository. Users may find that some data points will contain 0,0 for X,Y coordinates resulting in inconsistent spatial locations. Addresses for these data points could not be automatically geocoded and will need to be manually geocoded to 'best fit' locations in DC. Use the?MAR Geocoder?to help complete this.",2018-01-05T14:22:03.000Z,2018-01-29T12:59:10.627Z,http://opendata.dc.gov/datasets/38ba41dd74354563bce28a359b59324e_0,https://maps2.dcgis.dc.gov/dcgis/rest/services/FEEDS/MPD/MapServer/0,"-77.1199,38.8038,-76.909,38.996"
