portalName,URL
04c-01,http://opendata.dc.gov/data.json
04c-02,http://gis-baltimore.opendata.arcgis.com/data.json
04f-01,http://dvrpc-dvrpcgis.opendata.arcgis.com//data.json
05b-017,http://data-carltoncounty.opendata.arcgis.com/data.json
05b-019,http://data-carver.opendata.arcgis.com/data.json
05b-027,http://data-claycountymn.opendata.arcgis.com//data.json
05b-053,http://gis-hennepin.opendata.arcgis.com/data.json
05b-057,http://getdata-hubbardcounty.opendata.arcgis.com/data.json
05b-119,http://data-pcg.opendata.arcgis.com/data.json
05b-121,http://data-popecounty.opendata.arcgis.com//data.json
05b-137,http://opendata.gis.co.scott.mn.us/data.json
05b-139,http://data-sherburnegis.opendata.arcgis.com/data.json
05b-143,http://stlouiscountymndata-slcgis.opendata.arcgis.com/data.json
05b-163,http://data-wcmn.opendata.arcgis.com/data.json
05c-01,http://opendata.minneapolismn.gov/data.json
06a-01,http://gis-michigan.opendata.arcgis.com/data.json
06c-01,http://accessoakland.oakgov.com/data.json
06f-01,http://maps-semcog.opendata.arcgis.com/data.json
09c-01,http://data-southbend.opendata.arcgis.com/data.json
